Section             Count      Time MS    Min MS     Max MS     Average MS
structure_starts    1849       3564       0          1422       1.93
structure_refs      729        115        0          15         0.16
biomes              729        27         0          1          0.04
terrain             729        1058       0          42         1.45
surface             729        397        0          9          0.54
air_carvers         729        3347       3          61         4.59
fluid_carvers       729        8          0          0          0.01
decoration          625        5553       1          108        8.88
mob_spawns          529        135        0          37         0.26
structure_searches  0          0          0          0          0.00
Sum                                                             17.86
